Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY23,,INTELLIGENCE EQUIPMENT TACTICAL DRONES,INL/WHP,New,,,One to three years,Q1,$10M-$20M,COLOMBIA,"Gaudreau, Margaret R",,336411 - Aircraft Manufacturing,10000000.0,20000000.0
FY23,,LODGING BUILDING CONSTRUCTION CNP,INL/WHP,New,,,One year or less,Q2,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,250000.0,500000.0
FY23,,INTERNATIONAL TRAINING,INL/WHP,New,,,Three to five years,Q2,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,500000.0,1000000.0
FY23,,LOCAL TRAINING,INL/WHP,New,,,One to three years,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,VEHICLES AND EQUIPMENT,INL/WHP,New,,,One to three years,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,250000.0,500000.0
FY23,,PROFESSIONAL SERVICES - DIAN,INL/WHP,New,,,One to three years,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY23,,PROFESSIONAL SERVICES - MINISTERIO DE HACIENDA,INL/WHP,New,,,One to three years,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY23,,PROFESSIONAL  SERVICES - MINISTERIO DE ENERGIA,INL/WHP,New,,,One to three years,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY23,,PROFESSIONAL SERVICES - SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,INL/WHP,New,,,One to three years,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY23,,"INTERNATIONAL TRAINING - CNP - ML, SUAS TYPOLOGIES - CYBER FINANCIAL CRIMES.",INL/WHP,New,,,One to three years,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,LOCAL TRAINING - SUSPICIOUS ACTIVITY/TRANSACTION REPORT REQUIREMENTS - PRIVATE SECTOR,INL/WHP,New,,,One to three years,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,"CORRECTIONS PROGRAM, LEAD AND FOLLOW SECURE PRISON USED 6 (SIX) VEHICLES PURCHASE",INL/EA,New,,,Three to five years,Q2,$250k-500K,ALBANIA,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,250000.0,500000.0
FY23,,"MISCELLANEOUS EQUIPMENT - ""DEFENSORIA DEL PUEBLO""",INL/WHP,New,,,One year or less,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,459999 - All Other Miscellaneous Retailers,250000.0,500000.0
FY23,,"HUMAN RIGHTS SERVICES ""BAJO CAUCA""",INL/WHP,New,,,One to three years,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,541618 - Other Management Consulting Services,250000.0,500000.0
FY23,,MISCELLANEOUS SUPPLIES - CRIMINAL/DISCIPLINARY INVESTIGATIONS,INL/WHP,New,,,One to three years,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,459999 - All Other Miscellaneous Retailers,250000.0,500000.0
FY23,,LOCAL TRAINING - ICITAP IAA RURAL JUSTICE 2ND YEAR,INL/WHP,New,,,One to three years,Q3,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,PROFESSIONAL SERVICES - AGO ANALYTICS PROJECT / INFORMATION SYSTEMS,INL/WHP,New,,,One to three years,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY23,,"SUPPORT THE GOVERNMENT OF COLOMBIA WITH THE CREATION OF A PRISON REFORM SO THAT IT OPERATES IN A SAFE, HUMANE, AND TRANSPARENT MANNER. ASSIST INPEC TO IMPROVE CONFINEMENT CONDITIONS, DEVELOPING AND USING STANDARD OPERATING PROCEDURES (SOP) .",INL/WHP,New,,,One year or less,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,1000000.0,5000000.0
FY23,,ACCREDITATION SERVICES,INL/WHP,New,,,One to three years,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,1000000.0,5000000.0
FY23,,MISCELLANEOUS SUPPLIES,INL/WHP,New,,,One year or less,Q2,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,500000.0,1000000.0
FY23,,MEDICAL AND LABORATORY EQUIPMENT,INL/WHP,New,,,One to three years,Q2,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",250000.0,500000.0
FY23,,MISCELLANEOUS SUPPLIES - LA PICOTA PRISON,INL/WHP,New,,,One to three years,Q2,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,500000.0,1000000.0
FY23,,MISCELLANEOUS SUPPLIES - COLOMBIAN JAILS,INL/WHP,New,,,One to three years,Q3,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,1000000.0,5000000.0
FY23,,MISCELLANEOUS EQUIPMENT - COLOMBIAN JAILS,INL/WHP,New,,,One to three years,Q4,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,500000.0,1000000.0
FY23,,LOCAL TRAINING - CORRECTIONAL STAFF,INL/WHP,New,,,One year or less,Q2,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY23,,IT EQUIPMENT (HARDWARE & SOFTWARE),INL/WHP,New,,,One year or less,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY23,,IT EQUIPMENT (HARDWARE & SOFTWARE) - DDHH,INL/WHP,New,,,One year or less,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY23,,CONSTRUCTION PROJECT  FOR CNP/DINAE,INL/WHP,New,,,One year or less,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,500000.0,1000000.0
FY23,,PROCUREMENT OF AT LEAST 2 DUAL FUNCTION VESSELS (TRAINING AND OPERATIONAL) TO SUPPORT BAKAMLA MARITIME TRAINING CENTER IN BATAM.,INL/EA,New,,,One to three years,Q3,$1M-$5M,INDONESIA,"Gaudreau, Margaret R",,"441220 - Motorcycle, Boat and other Motor Vehicle dealers",1000000.0,5000000.0
FY23,,VEHICLES FOR CNP - CAUCASIA AND TUMACO,INL/WHP,New,,,One year or less,Q2,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,500000.0,1000000.0
FY23,,CLASSROOMS FOR THE INTELLIGENCE SCHOOL AND THE DINAE CAMPUS,INL/WHP,New,,,One to three years,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,250000.0,500000.0
FY23,,CONSTRUCTION PROJECT - UBICARS (BARBACOAS AND LETICIA),INL/WHP,New,,,One year or less,Q1,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,1000000.0,5000000.0
FY23,,CONSTRUCTION PROJECT - CNP/DICAR - FLORENCIA MULTI-PURPOSE FACILITY.,INL/WHP,New,,,One year or less,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,250000.0,500000.0
FY23,,CONSTRUCTION PROJECT - SECURITY POSTURE OF RURAL POLICE STATIONS.,INL/WHP,New,,,One year or less,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,250000.0,500000.0
FY23,,MISCELLANEOUS EQUIPMENT - COLOMBIAN NATIONAL POLICE / DIRECTORATE OF CARABINEROS AND RURAL SECURITY (CNP/DICAR) - GOES AND COPES,INL/WHP,New,,,One year or less,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,928110 - National Security,500000.0,1000000.0
FY23,,FINGERPRINT IDENTIFICATION SYSTEM,INL/EA,New,,,More than five years,Q3,$250k-500K,KYRGYZSTAN,"Gaudreau, Margaret R",,334610 - Software,250000.0,500000.0
FY23,,NEW CONCRETE BUILDING FOR VETTED UNIT,INL/WHP,New,,,One to three years,Q3,$250k-500K,BELIZE,"Gaudreau, Margaret R",,"238190 - Other Foundation, Structure, and Building Exterior Contractors",250000.0,500000.0
FY23,,AERONET JIOC JOINT INFORMATION SYSTEM - SIX 200 FT COMMUNICATION TOWERS AND INSTALLATION,INL/WHP,New,,,One to three years,Q4,$500K-$1M,BELIZE,"Gaudreau, Margaret R",,237130 - Power and Communication Line and Related Structures Construction,500000.0,1000000.0
FY23,,LEGAL DRAFTER,INL/WHP,New,,,One to three years,Q2,$250k-500K,BELIZE,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",250000.0,500000.0
FY23,,CIVIL ASSET OFFICE EQUIPMENT,INL/WHP,New,,,One year or less,Q4,$250k-500K,BELIZE,"Gaudreau, Margaret R",,423420 - Office Equipment Merchant Wholesalers,250000.0,500000.0
FY23,,ANTI CORRUPTION ADVISOR,INL/WHP,New,,,One to three years,Q2,$250k-500K,BELIZE,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",250000.0,500000.0
FY23,,CONTRACT FOR DGAPR OBSTACLE COURSE PROJECT AT THE  IFRANE CORRECTIONS TRAINING CENTER IN MOROCCO.,INL/AME,New,,,One year or less,Q2,$250k-500K,MOROCCO,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY23,,SECURITY ENHANCEMENT PROJECT: UPGRADING HI-RISK HOLDING CENTERS OF SOME WITH MOROCCAN PRISON WITH ELECTRONIC DOORS/CONTROLS,INL/AME,New,,,One to three years,Q2,$1M-$5M,MOROCCO,"Gaudreau, Margaret R",,922140 - Correctional Institutions,1000000.0,5000000.0
FY23,,DGAPR INTERNATIONAL TRAINING PROGRAM SUPPORT FOR TIFLET TRAINING CENTER,INL/AME,New,,,One to three years,Q2,$250k-500K,MOROCCO,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY23,,PROCUREMENT SUPPORT FOR Â€ŒJUSTICE FOR JUVENILESÂ€ PROJECT.,INL/AME,New,,,One to three years,Q2,$250k-500K,MOROCCO,"Gaudreau, Margaret R",,"922190 - Other Justice, Public Order, and Safety Activities",250000.0,500000.0
FY23,,"DGSN FIREARMS PROJECT.  FOLLOW ON FIREARMS PROGRAM AT KENITRA (INCLUDING CURRICULUM DEV, MENTORING, TRAINING INCL. SIMULATOR TRAINING, REFURBISH INDOOR SHOOTING RANGE, POSSIBLY EVEN WORK ON SECOND OUTDOOR RANGE, AMMO, ETC.)",INL/AME,Recompete,SCG,Sole Source,One to three years,Q2,$500K-$1M,MOROCCO,"Gaudreau, Margaret R",,922120 - Police Protection,500000.0,1000000.0
FY23,,"DGSN FORENSIC PROJECT.  FOLLOW ON FORENSICS WORK WITH CASA LAB, WHAT WE CALL PHASE 3 (EXPLOSIVES, DIGITAL EXPLOITATION, BALLISTICS, SYNERGETIC WORK WITH UNODC EVIDENCE: THE LAST MILE PROJECT)",INL/AME,Recompete,FIU,Sole Source,One to three years,Q2,$1M-$5M,MOROCCO,"Gaudreau, Margaret R",,541380 - Testing Laboratories,1000000.0,5000000.0
FY23,,DGSN COMMAND AND CONTROL PROJECT.  SWAT MULTI-THREAT TRAINING.,INL/AME,Recompete,Orange County Sheriff's Office,Sole Source,One year or less,Q1,$1M-$5M,MOROCCO,"Gaudreau, Margaret R",,922120 - Police Protection,1000000.0,5000000.0
FY23,,ENGLISH LANGUAGE PROGRAM IN MOROCCO JUVENILE DETENTION FACILITIES,INL/AME,New,,,One to three years,Q1,$250k-500K,MOROCCO,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY23,,"SUPPORT FOR DGSN REGIONAL POLICE TRAINING ACTIVITIES, PARTICULARLY IN FORENSIC SCIENCE",INL/AME,New,,,One to three years,Q2,$250k-500K,MOROCCO,"Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,250000.0,500000.0
FY23,,"TRAINING MANAGEMENT SYSTEM - PROVIDE LAW ENFORCEMENT INSTRUCTION AND DELIVERY OF TRAINING COURSES IN THE AREAS OF INSTRUCTOR DEVELOPMENT COURSE, CURRICULUM DESIGN COURSE AND EVALUATION TRAINING.",INL/WHP,New,,,One to three years,Q2,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,INTERNAL AFFAIRS KITS - PROVIDE SUPPORT TO THE EXISTING INTERNAL AFFAIRS UNITS THROUGHOUT MEXICO AT THE STATE OR FEDERAL LEVEL THROUGH A PACKAGE OF EQUIPMENT SUPPORTING THEIR OPERATIONAL AND INVESTIGATIVE TASKS.,INL/WHP,New,,,One to three years,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,423420 - Office Equipment Merchant Wholesalers,1000000.0,5000000.0
FY23,,GENETICS EQUIPMENT - PROVIDE GENETICS EQUIPMENT TO STATE FORENSIC LABORATORIES AND SPECIALISTS WITHIN MEXICO TO SUPPORT THE INTERNATIONAL ACCREDITATION OF LABORATORIES PROJECT IN ORDER TO IMPROVE THE EFFECTIVENESS OF MEXICAN CRIMINAL INVESTIGATIONS,INL/WHP,New,,,One to three years,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,621511 - Medical Laboratories,1000000.0,5000000.0
FY23,,"BALLISTICS EQUIPMENT - SUPPORT THE MEXICAN ATTORNEYÂ´S GENERAL OFFICE (FGR) TO PERFORM TEST FIRES, RECOVER CARTRIDGE CASES AND BULLETS, AND FEED Â€ŒBALLISTIC FINGERPRINTÂ€ DATA INTO MEXICOÂ€™S NATIONAL BALLISTIC DATABASE",INL/WHP,New,,,One to three years,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541380 - Testing Laboratories,1000000.0,5000000.0
FY23,,CHEMISTRY EQUIPMENT - ASSESS EQUIPMENT NEEDS AND DONATE NEW FORENSIC LABORATORY EQUIPMENT TO ASSIST MEXICAN STATE LABORATORIES TO MEET THEIR NEEDS IN THE DISCIPLINE OF CHEMISTRY.,INL/WHP,New,,,One to three years,Q3,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541380 - Testing Laboratories,1000000.0,5000000.0
FY23,,CSI EQUIPMENT - ASSESS EQUIPMENT NEEDS AND DONATE NEW FORENSIC LABORATORY EQUIPMENT TO ASSIST MEXICAN STATE LABORATORIES TO MEET THEIR NEEDS IN THE DISCIPLINE OF CRIME SCENE INVESTIGATIONS,INL/WHP,New,,,One to three years,Q2,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541380 - Testing Laboratories,1000000.0,5000000.0
FY23,,VETERINARY AND TRAINING EQUIPMENT FOR FEDERAL AND STATE CANINE UNITS,INL/WHP,New,,,One to three years,Q2,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,339999 - All Other Miscellaneous Manufacturing,1000000.0,5000000.0
FY23,,PRE-TRAINED CANINES AND ASSOCIATED HANDLER AND INSTRUCTOR TRAINING,INL/WHP,New,,,One to three years,Q3,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,VEHICLES FOR FEDERAL AND STATE CANINE UNITS,INL/WHP,Recompete,Alutiiq Essential Services/ Avidity Global/ Bering Global Solutions/ Blackfish Solutions/ Executive Protection Systems,Sole Source,One year or less,Q2,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,336110 - Automobile and Light Duty Motor Vehicle Manufacturing,1000000.0,5000000.0
FY23,,CONATRIB REGIONAL JUDICIAL PROCESS SOLUTION (QUINTANA ROO & OPTIONAL STATES),INL/WHP,New,,,One year or less,Q3,$5M-$10M,MEXICO,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,5000000.0,10000000.0
FY23,,CONADIC SKYNET SOLUTION,INL/WHP,Recompete,Alutiiq,Sole Source,One year or less,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY23,,WOMEN'S JUSTICE CENTER PROJECT,INL/WHP,New,,,One to three years,Q4,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY23,,JUSTICE OPERATORS KEY PERFORMANCE INDICATORS SOLUTION PROJECT (JOKPI)Â  QUINTANA ROO & JALISCO,INL/WHP,Recompete,Alutiiq,Sole Source,One year or less,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,1000000.0,5000000.0
FY23,,"MISSING PERSONS, DNA, AND HUMAN IDENTIFICATION FORENSIC INVESTIGATIONS CAPACITY BUILDING - PROVIDE SPECIALIZED EQUIPMENT TO MEXICAN LABORATORIES THAT WILL SUPPORT THE INVESTIGATIONS OF MISSING PERSONS CASES AND UNIDENTIFIED PEOPLE CASES",INL/WHP,New,,,One to three years,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,"621511 - Forensics laboratories, medical",1000000.0,5000000.0
FY23,,CASTVIZ TOLL RECORD ANALYSIS COURSE,INL/WHP,Recompete,SGI,Sole Source,One year or less,Q3,$250k-500K,MEXICO,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,EQUIPMENT FOR ACCREDITED & IN PROCESS OF ACCREDITATION MEXICAN PRISONS - SUPPORT PRISONS FACILITIES THROUGHOUT MEXICO AT THE STATE AND FEDERAL LEVEL,INL/WHP,New,,,One to three years,Q2,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",1000000.0,5000000.0
FY23,,PROVIDE NATIONAL MIGRATION INSTITUTE (INM) WITH TECHNOLOGY FOR PASSENGER DATA PROCESSING TO IDENTIFY HIGH-RISK TRAVELERS,INL/WHP,New,,,One to three years,Q4,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,334517 - Irradiation Apparatus Manufacturing,1000000.0,5000000.0
FY23,,CORRECTIONS OFFICER BASIC TRAINING/REFRESHER COURSE - SUPPORT THE BILATERAL COMMITMENT BY PROVIDING HIGHLY TRAINED AND FUNCTIONAL GOVERNMENT OF MEXICO OFFICIALS.,INL/WHP,New,,,One year or less,Q3,$500K-$1M,MEXICO,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,500000.0,1000000.0
FY23,,DEVELOPING SECURITY AUDITORS - MEXICAN AUDITORS IN MEXICO PRISONS SERVE AS PART OF ACA VISITING COMMITTEE TEAMS TO CONDUCT INITIAL AND RE ACCREDITATION AUDITS IN MEXICO.,INL/WHP,New,,,One year or less,Q2,$500K-$1M,MEXICO,"Gaudreau, Margaret R",,922140 - Correctional Institutions,500000.0,1000000.0
FY23,,MEXICO COUNTERING THREATS TO CORRECTIONAL INSTITUTION SECURITY - SUPPORTS THE USG COMMITMENT BY PROVIDING HIGHLY TRAINED AND FUNCTIONAL GOVERNMENT OF MEXICO OFFICIALS.,INL/WHP,New,,,One year or less,Q3,$250k-500K,MEXICO,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY23,,"NENA 911 PERSONNEL & AGENCY ACCREDITATION - SUPPORT GOM OFFICERS IN ACHIVE ACCREDITATION OF THE NATIONAL EMERGENCY NUMBER ASSOCIATION, TO PROMOTE THE IMPLEMENTATION AND AWARENESS OF 9-1-1.",INL/WHP,New,,,One year or less,Q3,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,"922190 - Other Justice, Public Order, and Safety Activities",1000000.0,5000000.0
FY23,,FIRST LINE SUPERVISOR TRAINING - IMPROVE LEADERSHIP AND SUPERVISION WITHIN THE RANKS OF MEXICAN STATE POLICE AGENCIES AND TO FORM A WELL-TRAINED CORPS OF LEADERSHIP AND SUPERVISION INSTRUCTORS.,INL/WHP,New,,,One to three years,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,"BASIC ANALYST COURSE - IMPROVE GOVERNMENT OF MEXICO (GOM) ANALYSTS UNDERSTANDING OF DOMAIN, INTELLIGENCE AND COLLECTION REQUIREMENTS, GAP MITIGATION, PRODUCT DEVELOPMENT, AND DISSEMINATION OF CRIMINAL INTELLIGENCE",INL/WHP,New,,,One year or less,Q2,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,EXPAND TRUSTED TRAVELER PROGRAMS AND SHARE BORDER CROSSING DATA IN REAL-TIME AT ALL LAND PORTS OF ENTRY SIMILAR TO CBPÂ€™S INITIATIVE WITH CANADA,INL/WHP,New,,,Three to five years,Q4,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541511 - Custom Computer Programming Services,1000000.0,5000000.0
FY23,,BUILD UPON A CBP PROGRAM THAT PRIMARILY FOCUSES ON THE RESCUE AND IDENTIFICATION OF MIGRANTS BUT WILL FURTHER CONCENTRATE ON INCREASING AND IMPROVING CROSS-BORDER INFORMATION SHARING,INL/WHP,New,,,One to three years,Q4,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,541511 - Custom Computer Programming Services,1000000.0,5000000.0
FY23,,THIRD PARTY CONTRACTORS FOR CORRECTIONS,INL/EA,New,ATSG Corporation,Competitive,One to three years,Q3,$250k-500K,MACEDONIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY23,,AUDIO-VIDEO RECORDING EQUIPMENT,INL/EA,New,,,One to three years,Q3,$1M-$5M,MACEDONIA,"Gaudreau, Margaret R",,334310 - Audio and Video Equipment Manufacturing,1000000.0,5000000.0
FY23,,PROVIDE FACILITY RESOURCES TO SET UP THE MIGRATION CHECKPOINTS ALONG ONE OF ONE OF THE MIGRANT ROUTES THAT COMES FROM GUATEMALA TO THE US TO EXPAND INM OPERATIONAL CAPACITY FOR MIGRATION CONTROL.,INL/WHP,New,,,One to three years,Q1,$1M-$5M,MEXICO,"Gaudreau, Margaret R",,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,1000000.0,5000000.0
FY23,,"IT EQUIPMENT, SOFTWARE AND INTEGRATION SERVICES FOR STATE TIP INVESTIGATIVE UNITS",INL/WHP,Recompete,GDIT,Competitive,One year or less,Q2,$500K-$1M,MEXICO,"Gaudreau, Margaret R",,334111 - Computer and Peripheral Equipment Manufacturing,500000.0,1000000.0
FY23,,U.S. COAST GUARD IAA MARITIME SMALL CRAFT TRAINING,INL/WHP,New,,,One to three years,Q3,$250k-500K,"BAHAMAS, THE","Gaudreau, Margaret R",,"611310 - Colleges, Universities, and Professional Schools",250000.0,500000.0
FY23,,DEU EQUIPMENT,INL/WHP,New,,,One year or less,Q3,$250k-500K,"BAHAMAS, THE","Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,250000.0,500000.0
FY23,,NORTHERN BAHAMAS POLICE TRAINING & INFRASTRUCTURE POST-HURRICANE DORIAN,INL/WHP,New,,,One to three years,Q4,$1M-$5M,"BAHAMAS, THE","Gaudreau, Margaret R",,611519 - Police Training Schools,1000000.0,5000000.0
FY23,,MARSH HARBOUR PORT SECURITY TRAINING & UPGRADES,INL/WHP,New,,,One to three years,Q4,$1M-$5M,"BAHAMAS, THE","Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,FINANCIAL CRIMES INVESTIGATION TRAINING,INL/WHP,New,,,One to three years,Q4,$1M-$5M,"BAHAMAS, THE","Gaudreau, Margaret R",,611519 - Police Training Schools,1000000.0,5000000.0
FY23,,CORRECTIONS ASSESSMENT & ANTI-GANG TRAINING,INL/WHP,New,,,Three to five years,Q4,$1M-$5M,"BAHAMAS, THE","Gaudreau, Margaret R",,611519 - Police Training Schools,1000000.0,5000000.0
FY23,,IMMIGRATION STANDARDS TRAINING & FACILITY REFURBISHMENT,INL/WHP,New,,,One to three years,Q3,$1M-$5M,"BAHAMAS, THE","Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,GBV TRAINING FOR LAW ENFORCEMENT,INL/WHP,New,,,Three to five years,Q2,$1M-$5M,"BAHAMAS, THE","Gaudreau, Margaret R",,611519 - Police Training Schools,1000000.0,5000000.0
FY23,,DIGITAL COURT RECORDING EQUIPMENT,INL/WHP,Recompete,FTR,Sole Source,One year or less,Q1,$250k-500K,"BAHAMAS, THE","Gaudreau, Margaret R",,922110 - Courts,250000.0,500000.0
